Designator,Mid X,Mid Y,Layer,Rotation
R1,99.30, 6.60,Top,270.0
R2,84.15, 7.59,Top,180.0
R3,100.06, 8.85,Top,0.0
R4,102.16, 9.55,Top,90.0
R5,84.13, 8.94,Top,0.0
R6,86.23, 9.54,Top,90.0
R7,106.96,12.15,Top,270.0
R8,102.16,12.65,Top,90.0
R9,91.03,12.14,Top,270.0
R10,86.23,12.64,Top,90.0
R11,102.16,15.35,Top,270.0
R12,100.96,12.65,Top,270.0
R13,86.23,15.74,Top,270.0
R14,85.03,12.64,Top,270.0
R15,160.20, 9.98,Top,90.0
R16,168.00,29.40,Top,270.0
R17,161.01,45.96,Top,90.0
R18,156.52,45.91,Top,90.0
R19,151.84,45.93,Top,90.0
R20,147.24,45.93,Top,90.0
R21,142.64,45.93,Top,90.0
R22,138.04,45.93,Top,90.0
R23,133.44,45.93,Top,90.0
R24,128.84,45.93,Top,90.0
R25,15.26,98.54,Bottom,180.0
R26,110.21,98.57,Bottom,180.0
R27,134.46,98.67,Bottom,180.0
R28,159.42,98.59,Bottom,180.0
R29,184.16,98.44,Bottom,180.0
R30,86.46,98.72,Bottom,180.0
R31,62.31,98.77,Bottom,180.0
R32,38.56,98.67,Bottom,180.0
R33,13.38,94.18,Top,270.0
R34,17.14,94.18,Top,270.0
R35,15.27,98.51,Top,180.0
R36,16.25,79.84,Top,0.0
R37,16.22,77.71,Top,180.0
R38,16.23,75.40,Top,180.0
R39,12.00,75.52,Top,180.0
R40,12.03,77.77,Top,0.0
R41,107.98,94.40,Top,270.0
R42,112.24,94.38,Top,270.0
R43,110.21,98.54,Top,180.0
R44,111.38,79.70,Top,180.0
R45,111.42,77.66,Top,180.0
R46,111.38,75.48,Top,180.0
R47,107.36,75.50,Top,180.0
R48,107.38,77.62,Top,0.0
R49,36.68,94.38,Top,270.0
R50,40.44,94.38,Top,270.0
R51,38.56,98.64,Top,180.0
R52,39.98,80.10,Top,180.0
R53,40.02,77.96,Top,180.0
R54,40.03,75.93,Top,180.0
R55,35.94,75.90,Top,180.0
R56,35.94,80.12,Top,0.0
R57,164.50,37.56,Top,180.0
R58,164.51,38.77,Top,180.0
R59,171.50,51.60,Top,270.0
R60,30.58,39.11,Top,90.0
R61,29.78,36.51,Top,180.0
R62,33.07,46.95,Top,270.0
R63,176.05,51.95,Top,90.0
R64,191.95,52.15,Top,90.0
R65,60.38,94.48,Top,270.0
R66,64.14,94.48,Top,270.0
R67,62.31,98.74,Top,180.0
R68,63.48,80.10,Top,180.0
R69,63.49,77.99,Top,180.0
R70,63.48,75.88,Top,180.0
R71,59.46,75.90,Top,180.0
R72,59.48,78.02,Top,0.0
R73,132.20,94.43,Top,270.0
R74,136.54,94.48,Top,270.0
R75,134.46,98.64,Top,180.0
R76,135.78,79.70,Top,180.0
R77,135.72,77.56,Top,180.0
R78,135.68,75.48,Top,180.0
R79,131.66,75.50,Top,180.0
R80,131.68,77.62,Top,0.0
R81,84.10,94.27,Top,270.0
R82,88.44,94.28,Top,270.0
R83,86.46,98.69,Top,180.0
R84,87.48,79.90,Top,180.0
R85,87.52,77.76,Top,180.0
R86,87.58,75.68,Top,180.0
R87,83.46,75.70,Top,180.0
R88,83.38,77.82,Top,0.0
R89,164.27,33.73,Top,90.0
R90,170.97,27.83,Top,180.0
R91,164.48,41.32,Top,180.0
R92,164.48,40.07,Top,180.0
R93,144.58,24.43,Top,135.0
R94,119.28,17.24,Top,180.0
R95,124.48,17.24,Top,180.0
R96,15.18,29.81,Top,0.0
R97,157.30,94.40,Top,270.0
R98,161.34,94.40,Top,270.0
R99,159.42,98.56,Top,180.0
R100,160.40,79.90,Top,180.0
R101,160.40,77.76,Top,180.0
R102,160.40,75.68,Top,180.0
R103,156.24,75.70,Top,180.0
R104,156.26,77.82,Top,0.0
R105,52.18,36.53,Top,180.0
R106,54.03,46.98,Top,270.0
R107,53.08,39.33,Top,90.0
R108,37.48,28.93,Top,0.0
R110,203.30,11.18,Top,270.0
R113,181.39,94.10,Top,270.0
R114,186.14,94.10,Top,270.0
R115,184.16,98.41,Top,180.0
R116,185.10,79.80,Top,180.0
R117,185.10,77.66,Top,180.0
R118,185.10,75.48,Top,180.0
R119,180.94,75.50,Top,180.0
R120,180.96,77.62,Top,0.0
R121,178.21, 5.28,Top,0.0
R122,181.71,34.35,Top,270.0
R123,81.61, 5.73,Top,180.0
R124,176.97, 5.30,Top,90.0
R125,173.20, 5.59,Top,90.0
R126,169.74,13.08,Top,270.0
R127,169.73,11.78,Top,270.0
R128,160.38,30.05,Top,90.0
R129,159.23,29.77,Top,0.0
R130,138.09, 9.13,Top,270.0
R131,169.23, 4.75,Top,90.0
R132,172.28,21.96,Top,90.0
R133,191.10,24.31,Top,270.0
R134,190.34,24.30,Top,270.0
R135,194.04,25.91,Top,270.0
R136,193.31,25.90,Top,270.0
R137,193.29,25.91,Bottom,270.0
R138,194.04,25.90,Bottom,270.0
R139,191.11,24.31,Bottom,90.0
R140,190.35,24.30,Bottom,90.0
R141,197.39,17.49,Top,270.0
R142,186.99,17.79,Top,270.0
R143,197.10,28.44,Top,90.0
R144,193.42,39.91,Top,180.0
R145,188.97,36.96,Top,180.0
R146,188.20,25.24,Top,90.0
R147,132.30, 9.02,Top,90.0
R148,96.14,18.17,Top,180.0
R150,113.56,18.24,Top,180.0
R151,164.48,36.36,Top,180.0
R153,169.00,51.60,Top,270.0
R154,166.40,51.60,Top,270.0
R155,163.90,51.60,Top,270.0
R156,186.90,51.60,Top,270.0
R157,184.50,51.60,Top,270.0
R158,181.80,51.50,Top,270.0
R159,179.30,51.50,Top,270.0
R160,167.98,21.28,Top,270.0
R161,105.70,14.30,Top,270.0
R162,101.30, 7.50,Top,0.0
