"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price EUR"
"1","5","1297-1290-ND","750370228","XFMR FLYBACK AC/DC CONV TH","","5","0","7,51000","37,55"
"2","5","240-TYS80403R3N-10CT-ND","TYS80403R3N-10","FIXED IND 3.3UH 4.4A 17 MOHM SMD","","5","0","0,63000","3,15"
